ts,service,heap_used_mb,metaspace_used_mb,hikari_active,hikari_idle,hikari_pending
1776549665,onboarding-api,,,,,
1776549665,config-service,,,,,
1776549665,storage-manager,,,,,
1776549665,sftp-service,,,,,
1776549665,gateway-service,,,,,
1776549665,notification-service,,,,,
1776549727,onboarding-api,,,,,
1776549727,config-service,,,,,
1776549727,storage-manager,,,,,
1776549727,sftp-service,,,,,
1776549727,gateway-service,,,,,
1776549727,notification-service,,,,,
1776549789,onboarding-api,,,,,
1776549789,config-service,,,,,
1776549789,storage-manager,,,,,
1776549789,sftp-service,,,,,
1776549789,gateway-service,,,,,
1776549789,notification-service,,,,,
1776549850,onboarding-api,,,,,
1776549850,config-service,,,,,
1776549850,storage-manager,,,,,
1776549850,sftp-service,,,,,
1776549850,gateway-service,,,,,
1776549850,notification-service,,,,,
1776549912,onboarding-api,,,,,
1776549912,config-service,,,,,
1776549912,storage-manager,,,,,
1776549912,sftp-service,,,,,
1776549912,gateway-service,,,,,
1776549912,notification-service,,,,,
1776549974,onboarding-api,,,,,
1776549974,config-service,,,,,
1776549974,storage-manager,,,,,
1776549974,sftp-service,,,,,
1776549974,gateway-service,,,,,
1776549974,notification-service,,,,,
1776550035,onboarding-api,,,,,
1776550035,config-service,,,,,
1776550035,storage-manager,,,,,
1776550035,sftp-service,,,,,
1776550035,gateway-service,,,,,
1776550035,notification-service,,,,,
1776550097,onboarding-api,,,,,
1776550097,config-service,,,,,
1776550097,storage-manager,,,,,
1776550097,sftp-service,,,,,
1776550097,gateway-service,,,,,
1776550097,notification-service,,,,,
1776550159,onboarding-api,,,,,
1776550159,config-service,,,,,
1776550159,storage-manager,,,,,
1776550159,sftp-service,,,,,
1776550159,gateway-service,,,,,
1776550159,notification-service,,,,,
1776550221,onboarding-api,,,,,
1776550221,config-service,,,,,
1776550221,storage-manager,,,,,
1776550221,sftp-service,,,,,
1776550221,gateway-service,,,,,
1776550221,notification-service,,,,,
1776550282,onboarding-api,,,,,
1776550282,config-service,,,,,
1776550282,storage-manager,,,,,
1776550282,sftp-service,,,,,
1776550282,gateway-service,,,,,
1776550282,notification-service,,,,,
1776550344,onboarding-api,,,,,
1776550344,config-service,,,,,
1776550344,storage-manager,,,,,
1776550344,sftp-service,,,,,
1776550344,gateway-service,,,,,
1776550344,notification-service,,,,,
1776550405,onboarding-api,,,,,
1776550405,config-service,,,,,
1776550405,storage-manager,,,,,
1776550405,sftp-service,,,,,
1776550405,gateway-service,,,,,
1776550405,notification-service,,,,,
1776550467,onboarding-api,,,,,
1776550467,config-service,,,,,
1776550467,storage-manager,,,,,
1776550467,sftp-service,,,,,
1776550467,gateway-service,,,,,
1776550467,notification-service,,,,,
1776550528,onboarding-api,,,,,
1776550528,config-service,,,,,
1776550528,storage-manager,,,,,
1776550528,sftp-service,,,,,
1776550528,gateway-service,,,,,
1776550528,notification-service,,,,,
1776550590,onboarding-api,,,,,
1776550590,config-service,,,,,
1776550590,storage-manager,,,,,
1776550590,sftp-service,,,,,
1776550590,gateway-service,,,,,
1776550590,notification-service,,,,,
1776550651,onboarding-api,,,,,
1776550651,config-service,,,,,
1776550651,storage-manager,,,,,
1776550651,sftp-service,,,,,
1776550651,gateway-service,,,,,
1776550651,notification-service,,,,,
1776550713,onboarding-api,,,,,
1776550713,config-service,,,,,
1776550713,storage-manager,,,,,
1776550713,sftp-service,,,,,
1776550713,gateway-service,,,,,
1776550713,notification-service,,,,,
1776550774,onboarding-api,,,,,
1776550774,config-service,,,,,
1776550774,storage-manager,,,,,
1776550774,sftp-service,,,,,
1776550774,gateway-service,,,,,
1776550774,notification-service,,,,,
1776550835,onboarding-api,,,,,
1776550835,config-service,,,,,
1776550835,storage-manager,,,,,
1776550835,sftp-service,,,,,
1776550835,gateway-service,,,,,
1776550835,notification-service,,,,,
1776550897,onboarding-api,,,,,
1776550897,config-service,,,,,
1776550897,storage-manager,,,,,
1776550897,sftp-service,,,,,
1776550897,gateway-service,,,,,
1776550897,notification-service,,,,,
1776550958,onboarding-api,,,,,
1776550958,config-service,,,,,
1776550958,storage-manager,,,,,
1776550958,sftp-service,,,,,
1776550958,gateway-service,,,,,
1776550958,notification-service,,,,,
1776551020,onboarding-api,,,,,
1776551020,config-service,,,,,
1776551020,storage-manager,,,,,
1776551020,sftp-service,,,,,
1776551020,gateway-service,,,,,
1776551020,notification-service,,,,,
1776551081,onboarding-api,,,,,
1776551081,config-service,,,,,
1776551081,storage-manager,,,,,
1776551081,sftp-service,,,,,
1776551081,gateway-service,,,,,
1776551081,notification-service,,,,,
1776551143,onboarding-api,,,,,
1776551143,config-service,,,,,
1776551143,storage-manager,,,,,
1776551143,sftp-service,,,,,
1776551143,gateway-service,,,,,
1776551143,notification-service,,,,,
1776551205,onboarding-api,,,,,
1776551205,config-service,,,,,
1776551205,storage-manager,,,,,
1776551205,sftp-service,,,,,
1776551205,gateway-service,,,,,
